fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
50.0,car,0,2,911,540,1440,820,5965GXZ,0.32910831389829137,430,64,499,86,5965GXZ
50.0,car,0,10,1390,574,1540,659,,0.0,0,0,0,0,
51.0,truck,0,4,268,478,473,651,,0.0,0,0,0,0,
51.0,car,0,5,671,543,929,722,,0.0,0,0,0,0,
51.0,car,0,6,461,514,503,550,,0.0,0,0,0,0,
51.0,car,0,2,911,540,1441,820,598502,0.4149166693583256,430,64,500,87,598502
51.0,car,0,10,1390,575,1531,660,,0.0,0,0,0,0,
52.0,truck,0,4,269,480,480,652,,0.0,0,0,0,0,
52.0,car,0,5,672,544,929,723,,0.0,0,0,0,0,
52.0,car,0,2,911,539,1441,821,5902GXZ,0.18682457523988358,430,65,500,87,5902GXZ
52.0,car,0,10,1388,575,1526,660,,0.0,0,0,0,0,
53.0,truck,0,4,269,480,483,655,,0.0,0,0,0,0,
53.0,car,0,5,673,545,929,723,,0.0,0,0,0,0,
53.0,car,0,2,912,539,1440,821,508202,0.11379177069994884,431,65,498,87,508202
53.0,car,0,10,1386,576,1520,659,,0.0,0,0,0,0,
54.0,truck,0,4,272,480,488,657,,0.0,0,0,0,0,
54.0,car,0,5,673,545,929,723,,0.0,0,0,0,0,
54.0,car,0,2,913,539,1440,820,59836XZ,0.3493446749379957,429,67,498,88,59836XZ
54.0,car,0,10,1383,576,1511,659,,0.0,0,0,0,0,
55.0,truck,0,4,273,482,491,662,,0.0,0,0,0,0,
55.0,car,0,5,674,545,929,723,,0.0,0,0,0,0,
55.0,car,0,2,914,539,1440,820,5980XZ,0.2817189917992941,428,67,498,90,5980XZ
55.0,car,0,10,1378,576,1504,658,,0.0,0,0,0,0,
56.0,truck,0,4,273,483,495,665,,0.0,0,0,0,0,
56.0,car,0,5,674,545,929,723,,0.0,0,0,0,0,
56.0,car,0,2,915,540,1441,820,5980Z,0.22390896829948861,427,66,497,89,5980Z
56.0,car,0,10,1385,576,1501,654,,0.0,0,0,0,0,
57.0,truck,0,4,272,483,497,667,,0.0,0,0,0,0,
57.0,car,0,5,675,545,930,724,,0.0,0,0,0,0,
57.0,car,0,2,915,541,1443,821,79836XZ,0.3431236969378421,428,66,498,87,79836XZ
57.0,car,0,10,1378,575,1496,654,,0.0,0,0,0,0,
58.0,truck,0,4,270,484,501,670,,0.0,0,0,0,0,
58.0,car,0,5,675,545,931,724,,0.0,0,0,0,0,
58.0,car,0,2,915,542,1444,823,59636XZ,0.39912157702809054,428,64,498,86,59636XZ
58.0,car,0,10,1377,575,1486,658,,0.0,0,0,0,0,
59.0,truck,0,4,272,483,505,673,,0.0,0,0,0,0,
59.0,car,0,5,676,545,932,724,,0.0,0,0,0,0,
59.0,car,0,2,915,543,1442,822,59636XZ,0.7872495435562139,430,65,498,86,59636XZ
59.0,car,0,10,1377,575,1481,659,,0.0,0,0,0,0,
60.0,truck,0,4,275,483,507,675,,0.0,0,0,0,0,
60.0,car,0,5,676,545,932,724,,0.0,0,0,0,0,
60.0,car,0,2,915,544,1443,823,5963CXZ,0.42335507709340164,429,64,499,86,5963CXZ
60.0,car,0,10,1379,577,1477,658,,0.0,0,0,0,0,
61.0,truck,0,4,277,483,514,677,E5277L,0.3182161484150428,127,34,182,53,E5277L
61.0,car,0,5,675,546,933,723,,0.0,0,0,0,0,
61.0,car,0,2,915,545,1442,823,59830Z,0.48070292977943274,432,63,500,86,59830Z
61.0,car,0,10,1382,576,1473,656,,0.0,0,0,0,0,
62.0,truck,0,4,279,483,519,678,,0.0,0,0,0,0,
62.0,car,0,5,676,547,934,724,,0.0,0,0,0,0,
62.0,car,0,2,915,545,1444,823,598362,0.2959052288649822,434,63,500,86,598362
62.0,car,0,10,1388,576,1470,652,,0.0,0,0,0,0,
63.0,truck,0,4,282,484,523,679,1274,0.42167946696281433,129,34,186,57,1274
63.0,car,0,5,676,548,934,725,,0.0,0,0,0,0,
63.0,car,0,2,916,544,1446,824,59836XZ,0.3177736240397246,432,63,500,87,59836XZ
63.0,car,0,10,1390,577,1467,646,,0.0,0,0,0,0,
64.0,truck,0,4,286,485,530,680,15277UY,0.3912174044041351,129,39,185,58,15277UY
64.0,car,0,5,676,549,935,726,,0.0,0,0,0,0,
64.0,car,0,2,917,544,1447,825,598362,0.2779657262864325,432,64,500,87,598362
64.0,car,0,10,1391,579,1463,651,,0.0,0,0,0,0,
64.0,car,0,11,251,536,298,585,,0.0,0,0,0,0,
65.0,car,0,4,292,485,535,682,15277L,0.9194318967530779,127,37,183,59,15277L
65.0,car,0,5,677,550,935,727,,0.0,0,0,0,0,
65.0,car,0,2,917,545,1447,825,59836XZ,0.41840301286977905,432,64,500,86,59836XZ
65.0,car,0,10,1392,580,1458,653,,0.0,0,0,0,0,
65.0,car,0,11,249,534,301,587,,0.0,0,0,0,0,
66.0,truck,0,4,294,484,539,683,5277LV,0.33249379834651727,129,40,187,61,5277LV
66.0,car,0,5,677,550,935,727,,0.0,0,0,0,0,
66.0,car,0,2,918,545,1446,824,5963GXZ,0.5446119589058298,431,65,499,87,5963GXZ
66.0,car,0,10,1392,582,1450,654,,0.0,0,0,0,0,
66.0,car,0,11,246,531,303,587,,0.0,0,0,0,0,
67.0,truck,0,4,298,484,542,687,152774,0.7152051519741774,129,42,187,61,152774
67.0,car,0,5,678,549,935,727,,0.0,0,0,0,0,
67.0,car,0,2,918,545,1445,824,5983GXZ,0.558489671450706,432,66,501,87,5983GXZ
67.0,car,0,10,1394,582,1446,651,,0.0,0,0,0,0,
67.0,car,0,11,244,530,305,587,,0.0,0,0,0,0,
68.0,truck,0,4,300,484,546,689,IS277VI,0.4566701106224773,131,42,190,62,IS277VI
68.0,car,0,5,678,550,935,727,,0.0,0,0,0,0,
68.0,car,0,2,918,545,1445,825,5983002,0.13588193282550898,433,64,501,86,5983002
68.0,car,0,10,1397,586,1441,649,,0.0,0,0,0,0,
68.0,car,0,11,242,527,307,590,,0.0,0,0,0,0,
69.0,truck,0,4,300,484,552,695,I527744,0.19716596303781453,132,39,194,60,I527744
69.0,car,0,5,678,550,935,727,,0.0,0,0,0,0,
69.0,car,0,2,918,545,1447,826,59836XZ,0.43257898797170014,433,64,500,87,59836XZ
69.0,car,0,10,1394,588,1439,649,,0.0,0,0,0,0,
69.0,car,0,11,240,527,309,591,,0.0,0,0,0,0,
70.0,car,0,4,303,484,557,699,1527744,0.2497799070140314,135,37,196,60,1527744
70.0,car,0,5,678,550,935,727,,0.0,0,0,0,0,
70.0,car,0,2,918,545,1449,828,598302,0.5656118027717706,431,64,501,87,598302
70.0,car,0,11,236,526,311,593,,0.0,0,0,0,0,
71.0,truck,0,4,305,486,564,703,5277LXV,0.8292823170140051,139,39,199,58,5277LXV
71.0,car,0,5,678,551,936,727,,0.0,0,0,0,0,
71.0,car,0,2,918,545,1449,828,598502,0.31858281564702007,431,64,501,87,598502
71.0,car,0,11,234,523,313,593,,0.0,0,0,0,0,
72.0,truck,0,4,307,488,569,703,15277L,0.47678717701109274,138,38,202,60,15277L
72.0,car,0,5,678,551,936,728,,0.0,0,0,0,0,
72.0,car,0,2,919,546,1448,828,59830XZ,0.5011238438456008,432,64,500,85,59830XZ
72.0,car,0,11,232,524,314,594,,0.0,0,0,0,0,
73.0,car,0,4,308,488,576,709,52774,0.3634848805694212,145,39,205,60,52774
73.0,car,0,5,678,552,936,728,,0.0,0,0,0,0,
73.0,car,0,2,920,547,1449,827,5983GXZ,0.2331697346717806,429,64,500,86,5983GXZ
73.0,car,0,11,230,522,314,595,,0.0,0,0,0,0,
74.0,truck,0,4,310,489,582,712,5277LXV,0.3712979954094327,147,39,208,61,5277LXV
74.0,car,0,5,679,552,936,727,,0.0,0,0,0,0,
74.0,car,0,2,920,548,1450,828,598502,0.5928927427372908,431,63,500,86,598502
74.0,car,0,11,229,523,316,596,,0.0,0,0,0,0,
75.0,car,0,4,312,488,587,718,5277LXV,0.5297969815856138,150,40,213,62,5277LXV
75.0,car,0,5,680,552,937,728,,0.0,0,0,0,0,
75.0,car,0,2,921,548,1451,828,598362,0.6627151580208105,431,64,500,86,598362
75.0,car,0,11,229,522,318,596,,0.0,0,0,0,0,
76.0,car,0,4,317,490,594,722,5277LYV,0.7248138222946597,150,41,212,63,5277LYV
76.0,car,0,5,681,552,937,728,,0.0,0,0,0,0,
76.0,car,0,2,921,548,1452,828,598302,0.325053562667966,429,63,499,86,598302
76.0,car,0,11,228,523,320,597,,0.0,0,0,0,0,
77.0,car,0,4,320,490,600,726,15277L,0.45297193997956875,150,43,217,66,15277L
77.0,car,0,5,680,552,937,728,,0.0,0,0,0,0,
77.0,car,0,2,921,547,1452,828,5983GXZ,0.3446662151745905,429,65,500,87,5983GXZ
77.0,car,0,11,227,523,323,598,,0.0,0,0,0,0,
78.0,car,0,4,322,492,606,727,15277LXV,0.9830253305243105,154,46,220,70,15277LXV
78.0,car,0,5,680,552,936,728,,0.0,0,0,0,0,
78.0,car,0,2,922,547,1450,828,59636XZ,0.2386342184079404,427,65,498,87,59636XZ
78.0,car,0,11,226,522,325,600,,0.0,0,0,0,0,
79.0,car,0,4,322,492,612,729,15277L,0.604992271808791,159,51,226,74,15277L
79.0,car,0,5,680,552,937,728,,0.0,0,0,0,0,
79.0,car,0,2,921,547,1449,827,598502,0.3168980240868315,430,66,500,88,598502
79.0,car,0,11,225,523,326,602,,0.0,0,0,0,0,
80.0,car,0,4,323,490,618,733,15277LXV,0.49328947554941127,163,53,231,77,15277LXV
80.0,car,0,5,680,552,937,729,,0.0,0,0,0,0,
80.0,car,0,2,921,547,1448,827,598302,0.6846899338776491,432,66,502,88,598302
80.0,car,0,11,225,523,327,602,,0.0,0,0,0,0,
81.0,truck,0,4,323,489,627,737,15277LYL,0.2720074898607381,170,55,237,80,15277LYL
81.0,car,0,5,679,552,937,729,,0.0,0,0,0,0,
81.0,car,0,2,921,548,1449,828,590362,0.30175311220538786,431,64,502,87,590362
81.0,car,0,11,224,524,328,603,,0.0,0,0,0,0,
82.0,bus,0,4,326,489,634,741,15277LXV,0.9025823929317579,172,60,241,82,15277LXV
82.0,car,0,5,680,553,938,730,,0.0,0,0,0,0,
82.0,car,0,2,922,549,1449,829,59626XZ,0.21429551678496309,431,64,501,86,59626XZ
82.0,car,0,11,223,524,331,604,,0.0,0,0,0,0,
83.0,car,0,4,330,488,642,746,15277LXV,0.49975135316964103,175,61,244,83,15277LXV
83.0,car,0,5,680,553,938,730,,0.0,0,0,0,0,
83.0,car,0,2,922,549,1450,829,596502,0.2564841227563593,431,64,500,87,596502
83.0,car,0,11,223,523,332,604,,0.0,0,0,0,0,
84.0,bus,0,4,334,489,649,748,15277LXV,0.6529363792743956,178,63,247,85,15277LXV
