fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
58.0,car,0,1,915,542,1444,823,59836YZ,0.5266666450983954,431,206,497,231,59836YZ
58.0,car,0,2,675,545,931,724,,0.0,0,0,0,0,
58.0,truck,0,3,269,484,501,671,,0.0,0,0,0,0,
59.0,car,0,1,915,544,1441,822,5980Z,0.8366739335626491,434,203,502,230,5980Z
59.0,car,0,2,675,545,932,724,,0.0,0,0,0,0,
59.0,truck,0,3,272,483,505,673,,0.0,0,0,0,0,
60.0,car,0,1,915,544,1443,823,59830Y7,0.1963579275997424,431,204,500,229,59830Y7
60.0,car,0,2,675,545,932,723,,0.0,0,0,0,0,
60.0,car,0,3,1380,577,1478,657,,0.0,0,0,0,0,
60.0,truck,0,4,276,482,507,675,,0.0,0,0,0,0,
61.0,car,0,1,915,545,1442,823,5980612,0.19036025088983863,438,203,502,230,5980612
61.0,car,0,2,675,547,933,723,,0.0,0,0,0,0,
61.0,car,0,3,1384,576,1474,655,,0.0,0,0,0,0,
61.0,truck,0,4,277,483,515,676,,0.0,0,0,0,0,
62.0,car,0,1,915,544,1445,823,59830X,0.24757712731481457,435,206,504,230,59830X
62.0,car,0,2,675,547,934,724,,0.0,0,0,0,0,
62.0,car,0,3,1391,575,1471,651,,0.0,0,0,0,0,
63.0,car,0,1,917,544,1447,824,5906Y7,0.259177572411066,433,205,495,231,5906Y7
63.0,car,0,2,675,548,933,725,,0.0,0,0,0,0,
63.0,car,0,3,251,535,298,584,,0.0,0,0,0,0,
64.0,car,0,1,917,544,1447,825,59802,0.5723829064859575,433,205,502,231,59802
64.0,car,0,2,677,550,935,727,,0.0,0,0,0,0,
64.0,car,0,3,250,536,298,586,,0.0,0,0,0,0,
65.0,car,0,1,917,545,1446,825,598302,0.46234293922682085,433,206,505,229,598302
65.0,car,0,2,677,550,935,726,,0.0,0,0,0,0,
65.0,car,0,3,248,534,302,587,,0.0,0,0,0,0,
66.0,car,0,1,918,545,1445,824,5963012,0.23153325885968143,433,207,503,230,5963012
66.0,car,0,2,678,549,935,727,,0.0,0,0,0,0,
66.0,car,0,3,246,530,303,587,,0.0,0,0,0,0,
67.0,car,0,1,918,545,1444,824,59830XZ,0.4973130116989134,434,206,502,231,59830XZ
67.0,car,0,2,678,549,935,727,,0.0,0,0,0,0,
67.0,car,0,3,243,530,305,587,,0.0,0,0,0,0,
67.0,truck,0,4,299,484,542,687,5277LXV,0.7449853543275002,115,141,193,164,5277LXV
68.0,car,0,1,918,545,1445,826,59030YZ,0.40689827592926037,437,206,504,232,59030YZ
68.0,car,0,2,678,550,935,727,,0.0,0,0,0,0,
68.0,car,0,3,241,527,308,590,,0.0,0,0,0,0,
69.0,car,0,1,678,550,935,727,,0.0,0,0,0,0,
69.0,car,0,2,918,545,1447,827,59002,0.7871967042932013,434,208,500,231,59002
69.0,car,0,3,241,527,309,592,,0.0,0,0,0,0,
70.0,car,0,1,678,550,935,727,,0.0,0,0,0,0,
70.0,car,0,2,918,545,1449,829,5983072,0.2536702571198817,432,207,507,232,5983072
70.0,car,0,3,235,527,311,594,,0.0,0,0,0,0,
71.0,car,0,1,678,551,936,727,,0.0,0,0,0,0,
71.0,car,0,2,918,545,1448,828,598307,0.44604505097576125,434,208,502,232,598307
71.0,car,0,3,233,522,313,592,,0.0,0,0,0,0,
71.0,truck,0,4,304,486,565,703,5277LXV,0.33926178682578056,142,147,201,169,5277LXV
72.0,car,0,1,678,551,936,728,,0.0,0,0,0,0,
72.0,car,0,2,919,546,1448,828,598302,0.33856626273489393,433,207,501,231,598302
72.0,car,0,3,232,525,313,593,,0.0,0,0,0,0,
73.0,car,0,1,678,552,936,728,,0.0,0,0,0,0,
73.0,car,0,2,920,548,1449,827,5983012,0.27170580283392737,435,206,506,229,5983012
73.0,car,0,3,230,521,313,595,,0.0,0,0,0,0,
