epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
131,261.224,1.66097,1.19973,1.35898,0.73072,0.45,0.48597,0.20037,2.22035,1.25462,1.108,0.001142,0.001142,0.001142
132,263.09,1.80004,1.26737,1.4019,0.60635,0.45,0.46784,0.15421,2.27505,1.44384,1.08031,0.0011354,0.0011354,0.0011354
133,264.893,1.68119,1.20686,1.39152,0.44634,0.45,0.348,0.13664,2.39895,1.40282,1.0904,0.0011288,0.0011288,0.0011288
134,266.694,1.7335,1.27595,1.3725,0.6559,0.5,0.46372,0.16189,2.28389,1.23415,1.08782,0.0011222,0.0011222,0.0011222
135,268.465,1.69904,1.12038,1.37936,0.76627,0.4923,0.50192,0.20498,2.13621,1.16535,1.07003,0.0011156,0.0011156,0.0011156
136,270.258,1.69198,1.25622,1.50573,0.72256,0.45,0.50652,0.19016,2.26908,1.19322,1.07481,0.001109,0.001109,0.001109
137,272.064,1.63048,1.16127,1.38044,0.57203,0.46852,0.50632,0.20338,2.23613,1.33103,1.09521,0.0011024,0.0011024,0.0011024
138,273.896,1.5527,1.15039,1.32457,0.59232,0.43655,0.51542,0.18219,2.24269,1.45945,1.11019,0.0010958,0.0010958,0.0010958
139,275.74,1.66867,1.14338,1.37976,0.88126,0.35,0.49062,0.15465,2.45617,1.49442,1.11459,0.0010892,0.0010892,0.0010892
140,277.563,1.53217,1.07782,1.3408,0.49117,0.48323,0.41161,0.14643,2.43894,1.39231,1.09863,0.0010826,0.0010826,0.0010826
